N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
26,0.03,75454.56,9588.39
8,0.04,79356.37,7397.3
31,0.03,74179.96,10335.37
30,0.09,74568.51,10181.04
20,0.08,77054.55,8734.78
29,0.07,74784.84,10031.44
33,0.1,73818.06,10638.96
28,0.07,75055.34,9881.71
38,0.09,72454.03,11419.03
32,0.1,74069.47,10485.16
35,0.06,73178.09,10951.3
12,0.07,78749.09,7749.73
17,0.06,77704.26,8335.95
40,0.1,71918.04,11734.79
31,0.08,74298.95,10332.88
30,0.02,74412.12,10184.25
25,0.06,75780.09,9440.85
28,0.04,74972.88,9883.41
16,0.06,77935.6,8208.79
34,0.06,73446.84,10795.91
21,0.07,76790.33,8872.65
18,0.05,77456.95,8466.97
14,0.05,78331.96,7968.54
32,0.07,74013.06,10486.32
38,0.01,72236.09,11423.68
39,0.02,72002.91,11580.54
28,0.06,75014.24,9882.59
18,0.08,77509.48,8465.91
15,0.07,78174.5,8085.39
35,0.11,73300.91,10948.77
10,0.03,79029.05,7557.13
24,0.1,76117.16,9294.53
19,0.05,77226.33,8600.71
36,0.07,72931.88,11106.87
21,0.1,76861.1,8871.27
17,0.04,77667.52,8336.65
27,0.0,75142.09,9736.86
25,0.02,75690.61,9442.64
12,0.05,78713.54,7750.28
20,0.04,76956.24,8736.68
6,0.06,79679.78,7282.8
25,0.04,75733.31,9441.76
22,0.1,76610.95,9010.85
37,0.07,72662.59,11263.37
19,0.03,77166.29,8601.87
20,0.06,77012.14,8735.62
37,0.09,72726.99,11262.01
24,0.07,76061.49,9295.6
26,0.01,75421.38,9589.08
23,0.03,76204.89,9155.05
39,0.03,72030.74,11579.94
11,0.02,78834.54,7650.65
15,0.03,78075.13,8087.21
31,0.02,74151.37,10335.96
33,0.06,73722.43,10640.96
29,0.04,74723.57,10032.74
40,0.05,71804.4,11737.21
24,0.0,75896.82,9298.96
40,0.01,71690.29,11739.65
33,0.02,73620.69,10643.09
21,0.07,76783.46,8872.83
29,0.02,74670.54,10033.82
21,0.05,76728.16,8873.91
34,0.1,73540.41,10793.94
17,0.03,77632.18,8337.33
5,0.0,79742.03,7249.41
6,0.02,79631.84,7283.03
29,0.05,74734.64,10032.52
18,0.1,77558.62,8465.03
37,0.01,72515.41,11266.46
15,0.0,78015.28,8088.27
33,0.03,73630.35,10642.89
26,0.08,75578.94,9585.79
9,0.06,79250.11,7471.79
26,0.05,75510.42,9587.24
19,0.05,77207.51,8601.08
37,0.03,72562.62,11265.5
30,0.04,74464.8,10183.19
9,0.03,79190.12,7472.55
9,0.04,79205.15,7472.35
26,0.08,75586.28,9585.62
28,0.02,74925.56,9884.43
7,0.06,79534.63,7333.43
34,0.02,73355.68,10797.83
11,0.04,78869.36,7650.13
36,0.06,72912.07,11107.28
26,0.06,75525.63,9586.89
19,0.02,77139.78,8602.39
