N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
4,0.14,0.0,3503.13,392.95
4,0.31,0.0,3522.49,392.83
12,0.06,0.0,3239.93,482.35
8,0.06,0.0,3365.2,429.81
33,0.01,0.0,2592.13,812.11
4,0.26,0.0,3516.16,392.84
30,0.12,0.0,2706.9,762.18
13,0.12,0.0,3223.52,496.15
22,0.12,0.0,2947.87,632.95
27,0.08,0.0,2788.42,713.35
27,0.06,0.0,2783.24,713.51
17,0.08,0.0,3091.83,555.32
10,0.06,0.0,3301.48,455.15
25,0.06,0.0,2844.72,681.13
6,0.0,34.62,3948.44,369.16
28,0.12,0.0,2767.18,729.47
32,0.03,0.0,2627.04,795.52
19,0.0,0.0,3013.06,586.47
8,0.03,40.0,3896.44,383.29
25,0.04,0.0,2840.38,681.2
26,0.03,0.0,2807.92,697.41
22,0.06,0.0,2934.8,633.26
32,0.0,0.0,2620.09,795.65
27,0.11,0.0,2795.71,713.24
29,0.04,0.0,2719.28,746.16
7,0.14,0.0,3412.41,418.23
12,0.09,0.0,3246.24,482.22
5,0.02,0.0,3453.87,399.82
8,0.04,0.0,3362.02,429.84
12,0.04,0.0,3235.53,482.44
40,0.13,0.0,2407.89,927.85
6,0.0,36.57,3951.64,366.18
18,0.12,0.0,3069.69,570.44
8,0.07,0.0,3368.08,429.74
7,0.0,33.89,3914.08,380.82
14,0.13,0.0,3194.68,510.5
17,0.01,0.0,3076.67,555.69
4,0.0,37.33,4025.47,347.71
8,0.12,0.0,3377.79,429.56
34,0.1,0.0,2582.41,828.19
10,0.1,0.0,3310.94,454.92
17,0.07,0.0,3089.76,555.39
39,0.02,0.0,2413.58,911.7
23,0.1,0.0,2913.52,648.94
20,0.08,0.0,2999.69,601.63
35,0.12,0.0,2555.8,844.65
34,0.13,0.0,2588.27,828.03
6,0.06,0.0,3428.88,408.4
5,0.13,40.0,4013.44,351.02
18,0.06,0.0,3056.11,570.77
40,0.09,0.0,2397.89,928.06
7,0.11,40.0,3942.92,371.32
7,0.0,40.0,3923.85,371.69
24,0.05,0.0,2871.65,665.17
4,0.13,40.0,4049.06,343.1
5,0.2,0.0,3479.3,399.48
5,0.13,40.0,4012.16,351.06
40,0.01,0.0,2380.79,928.51
39,0.12,0.0,2434.96,911.23
4,0.18,39.97,4054.55,343.07
37,0.09,0.0,2488.44,878.02
32,0.13,0.0,2648.03,795.03
26,0.06,0.0,2813.03,697.33
21,0.08,0.0,2969.26,617.35
26,0.12,0.0,2826.74,697.0
37,0.01,0.0,2470.62,878.45
17,0.04,0.0,3083.38,555.5
34,0.04,0.0,2567.3,828.52
40,0.06,0.0,2391.92,928.23
3,0.0,38.57,4073.4,339.81
34,0.02,0.0,2563.75,828.59
12,0.13,0.0,3256.03,482.02
23,0.04,0.0,2900.18,649.22
31,0.09,0.0,2669.5,778.74
2,0.01,38.46,4134.9,336.76
37,0.1,0.0,2491.45,877.97
13,0.07,0.0,3212.12,496.4
4,0.06,0.0,3493.57,393.02
38,0.01,0.0,2441.16,895.11
40,0.07,0.0,2393.33,928.19
6,0.03,40.0,3962.41,360.86
13,0.1,0.0,3218.84,496.24
7,0.0,37.48,3919.86,375.37
3,0.21,40.0,4100.08,337.16
5,0.0,37.08,3986.98,355.95
35,0.01,0.0,2531.04,845.25
4,0.06,40.0,4039.4,343.2
3,0.16,40.0,4094.87,337.18
8,0.02,0.0,3358.56,429.91
30,0.09,0.0,2699.17,762.31
35,0.04,0.0,2538.52,845.02
8,0.0,37.46,3886.51,387.05
11,0.14,0.0,3287.65,468.2
21,0.06,0.0,2965.44,617.44
8,0.0,39.3,3889.05,384.4
7,0.0,39.68,3922.92,372.17
28,0.05,0.0,2751.38,729.84
5,0.0,39.55,3991.61,352.04
33,0.08,0.0,2607.51,811.72
9,0.14,0.0,3349.52,441.81
13,0.03,0.0,3204.01,496.56
34,0.11,0.0,2583.26,828.14
38,0.08,0.0,2456.13,894.75
4,0.22,0.0,3511.41,392.87
27,0.02,0.0,2775.08,713.68
6,0.19,0.0,3449.51,408.08
6,0.0,39.09,3955.88,362.26
39,0.02,0.0,2413.58,911.7
29,0.07,0.0,2726.12,746.03
34,0.01,0.0,2562.08,828.64
8,0.0,0.0,3354.47,430.01
4,0.09,0.0,3496.22,392.97
37,0.12,0.0,2495.61,877.87
36,0.09,0.0,2518.6,861.39
40,0.08,0.0,2396.89,928.08
13,0.01,0.0,3199.68,496.66
13,0.11,0.0,3220.72,496.22
7,0.0,35.26,3916.14,378.8
5,0.0,34.95,3983.15,359.34
7,0.0,35.95,3917.14,377.77
28,0.06,0.0,2752.92,729.79
24,0.11,0.0,2886.56,664.85
21,0.03,0.0,2957.91,617.61
11,0.12,0.0,3282.91,468.3
30,0.06,0.0,2692.4,762.51
33,0.13,0.0,2618.42,811.5
3,0.0,37.77,4071.47,341.19
3,0.05,39.99,4081.91,337.28
19,0.12,0.0,3039.09,585.87
4,0.25,0.0,3515.74,392.85
29,0.04,0.0,2717.93,746.23
21,0.1,0.0,2972.95,617.3
32,0.02,0.0,2624.76,795.56
4,0.04,0.0,3490.57,393.04
20,0.1,0.0,3004.45,601.53
9,0.13,0.0,3347.47,441.86
7,0.0,35.95,3917.14,377.77
25,0.0,0.0,2831.07,681.46
9,0.11,0.0,3343.19,441.97
23,0.08,0.0,2908.39,649.05
16,0.09,0.0,3123.85,540.21
39,0.1,0.0,2430.97,911.32
7,0.0,35.14,3915.92,378.97
40,0.04,0.0,2387.63,928.31
29,0.12,0.0,2736.34,745.79
23,0.09,0.0,2910.15,649.0
18,0.03,0.0,3050.19,570.89
15,0.04,0.0,3145.43,525.54
31,0.07,0.0,2665.52,778.83
7,0.0,38.15,3920.76,374.39
31,0.04,0.0,2659.52,778.96
5,0.11,0.0,3466.87,399.67
12,0.04,0.0,3236.64,482.38
37,0.06,0.0,2481.57,878.22
20,0.1,0.0,3003.56,601.57
7,0.0,37.17,3919.84,375.83
18,0.04,0.0,3052.65,570.8
14,0.01,0.0,3168.02,511.07
13,0.02,0.0,3201.2,496.63
35,0.1,0.0,2552.2,844.76
23,0.03,0.0,2897.4,649.29
7,0.04,39.99,3931.25,371.53
