timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.07,10:00,0.7139,1.0006,0.9499,0.0,0.0,0.2371,0.0,0.0,1.858,0.0,0.0,34.3,0.0719,0.0186,1.009,0.2866,0.1362,0.0,1.3232,40.34,0.8574,0.0,0.0,0.4299,1.91,0.4779,0.4189,0.0105,0.0
15.07,11:00,0.8872,1.1034,0.793,0.0,0.0,0.2162,0.0,0.0,3.0457,0.0,0.0,43.12,0.0719,0.0305,0.7716,0.2161,0.1042,0.0,3.28,100.0,1.9424,0.0,0.0,0.3287,1.46,0.3655,0.3869,0.0097,0.0
15.07,12:00,0.8396,1.083,0.757,0.0,0.0,0.0144,0.0,0.0,3.7235,2.6405,0.2204,48.26,0.0719,0.0372,0.8761,0.2434,0.1183,0.0,3.2799,100.0,0.0,0.0,0.0,0.3733,1.66,0.415,0.2959,0.0074,0.0
15.07,13:00,0.9576,1.1451,0.6943,0.0,0.0,0.0612,0.0,0.0,2.8117,1.6665,0.1391,41.89,0.0719,0.0281,0.6808,0.1876,0.0919,0.0,3.2799,100.0,0.0001,0.0,0.0,0.2901,1.29,0.3225,0.336,0.0084,0.0
15.07,14:00,0.7377,0.9854,0.7344,0.0,0.0,0.0134,0.0,0.0,3.6582,2.6727,0.223,47.63,0.0719,0.0366,0.8993,0.2477,0.1214,0.0,3.2799,100.0,0.0001,0.0,0.0,0.3832,1.7,0.426,0.2611,0.0065,0.0
15.07,15:00,0.7798,1.0318,0.8237,0.0,0.0,0.1484,0.0,0.0,1.9195,0.8876,0.0741,35.7,0.0719,0.0192,0.9098,0.252,0.1228,0.0,3.2799,100.0,0.0001,0.0,0.0,0.3876,1.72,0.431,0.3448,0.0086,0.0
15.07,16:00,0.8589,1.1165,0.8328,0.0,0.0,0.1937,0.0,0.0,1.4185,0.3019,0.0252,32.55,0.0719,0.0142,0.9195,0.2576,0.1241,0.0,3.2799,100.0,0.0001,0.0,0.0,0.3917,1.74,0.4355,0.3489,0.0087,0.0
15.07,17:00,0.8008,1.0998,0.8987,0.0,0.0,0.3113,0.0,0.0,0.9215,0.0,0.0,29.36,0.0719,0.0092,1.0376,0.299,0.1401,0.0,3.1113,94.86,0.0,0.1783,0.0813,0.4421,1.96,0.4915,0.3526,0.0088,0.0
15.07,18:00,0.8175,1.1256,0.938,0.0,0.0,0.5684,0.0,0.0,0.3705,0.0,0.0,25.44,0.0719,0.0037,1.0262,0.3082,0.1385,0.0,2.3976,73.1,0.0,0.7552,0.3444,0.4372,1.94,0.4861,0.3979,0.0099,0.0
15.07,19:00,0.7574,1.0165,0.8339,0.0,0.0,0.6066,0.0,0.0,0.1156,0.0,0.0,22.98,0.0719,0.0012,0.8368,0.2591,0.113,0.0,1.5462,47.14,0.0,0.9008,0.4108,0.3565,1.58,0.3964,0.3935,0.0098,0.0
15.07,20:00,0.8239,1.0041,0.6215,0.0,0.0,0.6149,0.0,0.0,0.0,0.0,0.0,21.76,0.0719,0.0,0.5712,0.1802,0.0771,0.0,0.5973,18.21,0.0,1.0041,0.4579,0.2434,1.08,0.2706,0.3209,0.008,0.0
15.07,21:00,0.6615,0.7532,0.3696,0.1887,0.0338,0.4072,0.0038,0.0038,0.0,0.0,0.0,20.68,0.0719,0.0,0.2861,0.0917,0.0386,0.0,0.0639,1.95,0.0,0.5645,0.2574,0.1219,0.54,0.1355,0.219,0.0055,0.0
15.07,22:00,0.5571,0.6438,0.2503,0.5835,0.1046,0.2428,0.0117,0.0117,0.0,0.0,0.0,19.46,0.0719,0.0,0.2672,0.0867,0.0361,0.0,0.0068,0.21,0.0,0.0604,0.0275,0.1138,0.51,0.1265,0.1097,0.0027,0.0
15.07,23:00,0.5686,5.9766,11.3886,2.32,0.416,2.04,0.0464,0.0464,0.0,0.0,0.0,18.45,0.0719,0.0,11.4569,3.7687,1.5467,0.0,1.64,50.0,0.0,0.0065,0.0029,11.25,50.0,0.1708,0.1024,0.0026,0.0
