N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
35,0.1,8.39,7303.51,1089.87
22,0.03,5.41,7621.43,898.15
38,0.1,32.91,7222.72,1136.59
13,0.01,4.11,7826.58,783.73
20,0.04,16.37,7673.32,870.56
23,0.04,24.27,7599.85,912.08
33,0.06,29.98,7348.0,1059.27
40,0.06,3.04,7158.69,1168.24
10,0.04,10.79,7890.17,754.28
29,0.05,23.68,7450.83,998.95
14,0.04,24.36,7812.83,794.57
21,0.04,28.94,7649.31,884.22
30,0.06,27.33,7426.85,1013.83
23,0.07,9.36,7606.32,911.99
36,0.09,36.3,7274.18,1105.38
31,0.03,2.85,7393.92,1029.01
40,0.08,26.79,7162.87,1168.16
26,0.03,27.81,7522.68,954.96
34,0.04,16.67,7317.03,1074.68
29,0.0,28.38,7439.09,999.18
13,0.02,19.56,7828.33,783.72
12,0.07,20.58,7858.17,773.12
33,0.02,5.9,7337.36,1059.52
23,0.06,8.23,7603.33,912.06
8,0.06,31.42,7926.55,738.95
28,0.02,35.44,7468.83,984.28
40,0.0,23.25,7145.03,1168.52
13,0.08,4.26,7840.21,783.51
28,0.02,26.57,7469.62,984.23
28,0.08,35.44,7482.09,984.01
18,0.05,3.74,7724.43,843.82
29,0.02,30.37,7441.86,999.16
26,0.02,30.72,7519.04,955.06
39,0.07,14.04,7187.77,1152.44
31,0.04,29.66,7396.45,1028.92
9,0.04,24.49,7907.49,746.13
10,0.08,20.64,7896.81,754.22
30,0.0,8.79,7413.2,1014.11
20,0.07,27.4,7679.83,870.46
9,0.02,14.06,7903.59,746.21
25,0.06,2.62,7554.32,940.43
21,0.05,15.91,7651.56,884.21
23,0.08,21.71,7607.56,911.96
40,0.11,14.21,7170.01,1168.01
37,0.04,0.31,7236.58,1121.17
19,0.05,35.93,7700.22,857.07
28,0.06,35.96,7478.15,984.08
13,0.03,4.39,7831.34,783.66
21,0.02,5.81,7644.78,884.33
14,0.01,27.82,7806.08,794.71
30,0.07,23.47,7429.57,1013.78
34,0.02,13.84,7312.32,1074.79
34,0.07,31.22,7322.95,1074.58
18,0.1,17.91,7734.41,843.64
10,0.04,25.7,7889.25,754.32
17,0.02,1.94,7740.32,830.99
32,0.09,20.37,7380.45,1043.87
23,0.04,32.71,7599.85,912.08
31,0.06,12.85,7400.95,1028.85
15,0.04,19.07,7791.77,806.12
21,0.06,1.41,7652.7,884.2
8,0.04,22.68,7924.07,738.96
5,0.01,27.77,7968.11,724.99
17,0.09,27.24,7755.39,830.67
8,0.01,4.87,7919.05,739.03
19,0.08,28.09,7705.75,856.96
22,0.07,25.66,7630.06,897.99
11,0.09,4.23,7879.73,763.23
24,0.06,4.44,7578.14,926.21
36,0.04,24.46,7263.5,1105.59
26,0.06,2.31,7529.23,954.83
32,0.01,24.31,7361.88,1044.28
39,0.1,15.95,7195.22,1152.31
10,0.0,3.86,7882.89,754.42
24,0.04,34.93,7575.0,926.22
18,0.02,20.96,7716.83,843.97
22,0.05,35.06,7626.88,898.06
29,0.08,2.9,7457.2,998.81
16,0.0,7.46,7760.37,818.4
24,0.07,2.31,7581.74,926.12
21,0.01,0.62,7641.6,884.4
13,0.06,32.67,7836.34,783.59
13,0.04,23.13,7833.29,783.6
10,0.02,21.97,7885.81,754.38
17,0.02,33.7,7741.48,830.94
16,0.04,21.38,7767.65,818.28
16,0.01,22.22,7762.41,818.38
9,0.0,3.23,7900.58,746.25
21,0.03,25.43,7646.88,884.3
13,0.03,34.92,7830.04,783.68
24,0.08,12.8,7583.5,926.07
34,0.1,23.68,7329.87,1074.48
7,0.06,23.19,7942.82,732.91
25,0.02,24.71,7544.09,940.66
18,0.04,3.41,7720.62,843.91
15,0.07,19.07,7798.36,806.05
15,0.01,0.69,7784.61,806.27
9,0.04,36.96,7906.73,746.16
13,0.09,2.13,7841.98,783.46
9,0.08,20.96,7913.98,746.05
15,0.1,1.18,7803.61,805.95
30,0.01,19.57,7415.41,1014.09
10,0.09,21.68,7897.54,754.18
9,0.0,14.75,7900.55,746.26
30,0.09,25.62,7433.16,1013.68
18,0.02,27.45,7717.68,843.93
14,0.02,19.56,7807.83,794.69
36,0.04,2.93,7262.16,1105.66
12,0.08,35.44,7859.23,773.1
40,0.04,24.25,7154.45,1168.3
8,0.04,36.96,7923.33,738.99
17,0.08,8.23,7754.87,830.7
39,0.01,24.36,7174.69,1152.73
7,0.04,31.4,7940.46,732.92
30,0.03,10.43,7420.29,1013.97
7,0.0,31.19,7935.21,732.98
19,0.04,30.56,7698.02,857.08
24,0.09,19.14,7585.04,926.03
12,0.04,28.32,7852.96,773.17
21,0.09,22.33,7659.26,884.03
37,0.04,20.53,7236.48,1121.18
27,0.1,24.14,7512.44,969.23
22,0.08,23.35,7632.41,897.95
7,0.07,5.38,7943.53,732.9
8,0.08,27.21,7929.28,738.92
14,0.06,1.76,7816.24,794.54
17,0.1,24.71,7758.17,830.66
14,0.09,21.73,7822.03,794.41
37,0.01,27.95,7229.25,1121.37
9,0.02,27.03,7904.48,746.17
28,0.1,7.76,7487.05,983.92
33,0.04,16.42,7343.5,1059.34
30,0.07,22.88,7429.57,1013.78
38,0.09,21.61,7220.09,1136.6
6,0.08,6.4,7960.35,728.15
26,0.08,24.56,7532.66,954.78
15,0.08,25.72,7799.0,806.02
12,0.1,32.11,7863.66,773.04
15,0.06,16.3,7795.99,806.06
17,0.07,26.0,7752.12,830.76
39,0.08,31.63,7190.41,1152.4
31,0.08,4.7,7405.19,1028.76
8,0.07,23.83,7927.53,738.93
33,0.08,29.98,7351.61,1059.21
6,0.0,27.02,7951.42,728.2
22,0.04,35.34,7624.57,898.07
7,0.04,30.19,7939.91,732.94
30,0.1,0.04,7435.79,1013.67
26,0.08,26.79,7533.25,954.75
7,0.08,20.54,7945.69,732.89
23,0.02,33.67,7594.29,912.24
39,0.08,27.54,7190.07,1152.41
31,0.1,15.95,7409.39,1028.71
30,0.02,13.94,7417.88,1014.0
14,0.04,2.56,7811.54,794.63
35,0.04,33.57,7289.47,1090.14
28,0.08,16.16,7483.29,983.95
11,0.04,34.76,7872.07,763.34
40,0.09,24.8,7165.18,1168.08
20,0.04,33.17,7673.69,870.54
17,0.07,23.67,7752.12,830.76
37,0.03,18.8,7233.82,1121.26
11,0.04,23.14,7870.71,763.4
33,0.04,17.85,7343.1,1059.36
37,0.06,20.89,7240.86,1121.11
4,0.0,34.51,7985.89,723.75
35,0.09,4.88,7300.97,1089.88
39,0.04,24.27,7182.06,1152.53
19,0.09,26.28,7707.71,856.9
9,0.06,29.95,7910.1,746.12
20,0.09,5.0,7683.41,870.36
34,0.04,21.75,7315.98,1074.73
34,0.01,21.86,7308.82,1074.88
33,0.07,37.72,7349.4,1059.24
19,0.1,11.88,7710.23,856.89
36,0.08,2.33,7273.12,1105.39
11,0.02,39.13,7868.33,763.42
33,0.09,6.14,7354.08,1059.13
23,0.09,26.58,7609.69,911.9
22,0.09,7.1,7634.61,897.88
27,0.09,35.13,7509.89,969.24
23,0.06,19.9,7604.06,912.02
25,0.03,7.84,7546.1,940.6
31,0.04,2.86,7395.29,1028.98
27,0.08,31.66,7508.72,969.26
40,0.03,26.23,7151.82,1168.38
29,0.03,10.54,7446.21,999.03
7,0.02,13.73,7937.47,732.97
29,0.09,7.98,7459.04,998.75
29,0.1,7.97,7461.57,998.74
37,0.02,29.97,7230.95,1121.33
37,0.08,23.54,7245.21,1121.02
39,0.04,24.27,7182.06,1152.53
32,0.02,13.42,7363.76,1044.26
35,0.08,37.8,7298.53,1089.96
15,0.02,10.04,7787.61,806.2
32,0.02,7.87,7365.34,1044.19
29,0.03,27.67,7445.81,999.05
37,0.07,39.38,7244.43,1121.06
35,0.08,18.38,7299.95,1089.93
29,0.04,11.73,7448.44,998.96
19,0.07,2.28,7703.86,857.01
22,0.07,8.79,7630.06,897.99
25,0.03,24.92,7547.72,940.56
30,0.04,29.74,7422.65,1013.89
40,0.07,3.08,7161.68,1168.18
30,0.03,35.94,7419.88,1013.99
37,0.01,20.99,7228.15,1121.38
37,0.1,25.0,7250.94,1120.9
40,0.09,20.17,7165.11,1168.09
18,0.04,4.76,7722.12,843.83
32,0.03,30.74,7366.69,1044.16
18,0.01,2.87,7714.6,844.0
36,0.1,24.09,7278.46,1105.33
27,0.05,25.73,7501.92,969.43
22,0.05,15.96,7626.88,898.06
24,0.07,35.12,7580.2,926.15
21,0.08,1.14,7657.35,884.09
32,0.04,29.66,7370.12,1044.07
32,0.04,16.71,7368.89,1044.13
17,0.04,17.25,7745.68,830.85
11,0.02,23.71,7868.46,763.41
40,0.04,6.23,7153.9,1168.33
27,0.06,3.9,7504.29,969.36
10,0.02,15.38,7886.93,754.33
28,0.07,35.19,7479.97,984.03
34,0.0,24.8,7307.32,1074.92
28,0.05,36.08,7476.49,984.12
39,0.06,29.45,7185.77,1152.5
27,0.05,25.73,7501.92,969.43
28,0.04,29.82,7474.17,984.13
27,0.07,3.38,7505.4,969.34
30,0.04,26.71,7422.65,1013.89
26,0.07,33.96,7530.5,954.8
26,0.03,22.65,7521.57,954.98
35,0.07,3.08,7297.51,1089.97
6,0.03,31.49,7954.23,728.18
35,0.0,27.31,7279.97,1090.36
28,0.0,1.86,7463.97,984.39
19,0.02,22.05,7693.15,857.21
23,0.01,3.54,7592.02,912.27
16,0.06,13.56,7772.39,818.19
30,0.05,26.57,7424.97,1013.88
24,0.02,27.63,7569.2,926.39
39,0.03,1.13,7178.34,1152.64
20,0.06,5.16,7678.01,870.47
34,0.08,8.18,7326.12,1074.51
22,0.08,2.03,7632.87,897.93
12,0.02,6.8,7849.18,773.24
39,0.0,38.21,7172.43,1152.77
32,0.0,26.14,7360.6,1044.3
35,0.1,8.38,7304.52,1089.82
35,0.06,4.54,7295.68,1090.02
35,0.05,35.33,7292.69,1090.08
35,0.03,1.84,7287.56,1090.19
20,0.05,26.75,7675.95,870.53
21,0.07,38.19,7654.83,884.13
38,0.03,21.81,7205.78,1136.92
32,0.06,14.41,7374.07,1044.03
35,0.04,32.58,7290.42,1090.09
33,0.02,2.68,7338.94,1059.45
29,0.04,24.39,7448.24,998.98
33,0.08,5.38,7353.21,1059.17
33,0.07,22.88,7350.54,1059.23
23,0.0,2.75,7590.38,912.31
21,0.07,25.66,7654.73,884.14
32,0.03,31.23,7367.72,1044.15
10,0.0,11.09,7883.61,754.39
28,0.1,14.48,7487.48,983.91
14,0.05,32.23,7815.04,794.56
14,0.07,5.08,7818.06,794.49
23,0.09,1.82,7609.59,911.91
21,0.0,4.45,7640.55,884.42
37,0.03,0.28,7232.96,1121.27
27,0.08,29.24,7507.47,969.32
33,0.01,3.35,7335.37,1059.54
35,0.02,33.1,7285.45,1090.21
7,0.02,29.34,7937.77,732.95
22,0.03,8.78,7622.45,898.14
8,0.02,36.96,7921.17,739.0
27,0.1,1.0,7512.78,969.22
29,0.06,8.36,7452.04,998.94
19,0.0,27.82,7689.06,857.29
16,0.02,4.7,7764.19,818.34
17,0.03,27.51,7743.33,830.92
24,0.03,32.15,7571.49,926.32
29,0.02,29.89,7443.78,999.07
38,0.1,20.93,7224.71,1136.54
12,0.02,8.5,7848.43,773.28
21,0.08,28.09,7656.97,884.11
33,0.03,4.18,7340.98,1059.42
16,0.03,1.18,7765.72,818.3
40,0.03,24.28,7152.17,1168.37
31,0.1,13.42,7411.32,1028.66
6,0.02,38.23,7953.57,728.19
15,0.03,24.76,7788.8,806.19
25,0.01,21.41,7542.17,940.68
34,0.11,24.92,7332.35,1074.4
23,0.1,32.36,7613.69,911.86
19,0.02,32.7,7692.61,857.22
33,0.03,4.2,7340.98,1059.42
20,0.02,10.04,7669.3,870.64
15,0.04,24.37,7790.77,806.16
8,0.02,36.96,7921.17,739.0
35,0.02,18.9,7283.85,1090.29
21,0.02,0.01,7643.64,884.38
22,0.0,11.39,7615.19,898.3
25,0.0,1.74,7540.16,940.74
12,0.04,21.94,7852.96,773.17
38,0.07,1.0,7216.94,1136.72
25,0.01,24.92,7541.98,940.69
25,0.02,17.69,7545.16,940.62
37,0.02,30.54,7231.64,1121.29
14,0.09,20.33,7821.84,794.42
