N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
33,0.02,688690.93,68693.71
15,0.0,733631.23,61927.67
18,16.91,972828.04,59097.67
13,1.73,769302.76,61250.64
14,3.67,800942.2,60982.97
28,0.01,701742.62,66343.39
15,9.62,888008.5,60171.58
18,17.74,979717.16,59054.0
26,0.04,707491.64,65471.19
16,11.08,907858.78,59918.92
14,6.69,847543.47,60596.32
23,0.03,715091.47,64271.42
16,11.64,914144.61,59820.95
36,0.07,681823.74,70169.56
21,0.04,720259.66,63553.06
13,3.77,802702.87,60944.73
22,0.04,717804.29,63900.46
13,0.11,740223.21,61634.94
20,0.09,723782.98,63200.12
34,0.04,686512.52,69177.95
19,0.01,724441.24,62924.7
15,9.74,889469.16,60152.15
24,0.01,712056.27,64667.82
16,11.94,917430.63,59770.24
16,13.3,931714.77,59558.78
28,0.11,704003.53,66295.85
19,18.98,992826.82,58972.24
30,0.02,696640.91,67249.39
14,0.11,738093.46,61732.4
17,0.0,729038.0,62365.85
17,0.1,731318.82,62321.93
16,12.8,926557.65,59631.14
18,16.86,972342.76,59101.41
18,15.96,964421.17,59174.24
13,3.46,797863.99,60985.38
24,0.1,714103.32,64625.5
30,0.09,698410.26,67211.76
13,3.37,796532.22,60996.81
16,10.14,896616.13,60086.62
32,0.04,691774.71,68196.11
15,10.53,898562.48,60035.76
18,17.42,977075.69,59069.03
33,0.11,690748.06,68649.99
15,8.28,871184.11,60383.58
15,10.51,898444.4,60037.26
29,0.07,700482.17,66762.83
14,6.46,844031.49,60623.64
13,3.27,794899.81,61010.94
15,0.0,733667.82,61926.97
20,0.0,721759.44,63240.49
13,2.4,780773.46,61138.32
13,0.9,754739.33,61411.15
18,17.61,978611.81,59059.94
